,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
260,Fred,14,M,FA,15,1,1,11,1,2,28,18,15,2,0,0,5,14,8,3,0,0,0,0
261,"Odoi, Denis",9,D,FA,29,0,1,11,0,0,44,11,29,4,0,0,4,41,140,51,1,62,2,0
262,Helder Costa,20,F,FA,25,1,2,17,0,7,16,42,23,3,0,0,3,9,5,10,0,0,0,0
263,"Stephens, Jack",16,D,FA,19,1,0,5,0,5,19,4,5,4,0,0,0,24,75,44,0,25,3,0
264,"Keita, Naby",12,M,FA,23,1,1,7,0,9,28,28,13,0,0,0,0,9,9,9,0,0,0,7
265,"Almiron, Miguel",15,M,OWNED,9,0,0,12,2,7,16,5,14,0,0,0,6,7,3,1,0,0,0,3
266,"Elyounoussi, Mohamed",16,M,FA,15,0,0,15,0,6,13,6,13,0,0,0,13,6,5,9,0,0,0,3
267,"Dier, Eric",17,M,FA,16,2,0,6,0,2,25,7,7,3,0,0,1,15,31,28,0,0,0,5
268,"Masuaku, Arthur",19,D,FA,19,0,1,8,0,1,50,23,5,2,0,0,4,33,48,16,0,26,2,0
269,"Hendrick, Jeff",4,M,FA,28,2,0,10,1,5,24,21,9,4,0,0,4,9,20,16,0,0,0,3
270,"Iheanacho, Kelechi",11,F,FA,28,1,3,13,2,6,6,21,7,1,0,0,1,2,2,13,0,0,0,1
271,"Manquillo, Javier",15,D,FA,15,0,2,6,0,0,22,7,6,2,0,0,3,14,36,15,0,10,3,1
272,"Mendez-Laing, Nathaniel",5,F,FA,16,2,0,7,0,4,22,12,2,0,0,0,3,10,6,18,0,0,0,3
273,"Lennon, Aaron",4,M,FA,16,1,1,7,0,2,26,13,16,1,0,0,3,10,12,2,0,0,0,3
274,"Ghezzal, Rachid",11,M,FA,19,1,0,16,0,5,14,22,8,3,0,0,16,7,3,10,0,0,0,1
275,"Maitland-Niles, Ainsley",2,M,FA,13,1,1,6,0,3,29,13,10,1,0,0,1,17,11,5,0,2,0,2
276,"Zambo Anguissa, Andre-Frank",9,M,FA,18,0,0,6,0,5,34,27,16,1,1,1,1,27,21,15,0,0,0,1
277,"Bardsley, Phil",4,D,FA,19,0,0,7,0,1,32,6,11,9,0,0,10,31,66,32,1,27,4,0
278,"Mina, Yerry",8,D,OWNED,12,1,0,3,0,1,13,2,5,3,0,0,0,8,46,37,0,11,3,0
279,"Daniels, Charlie",1,D,FA,21,1,0,11,0,3,25,7,7,4,0,0,9,20,43,29,0,32,3,1
280,"Zohore, Kenneth",5,F,FA,16,1,1,11,0,6,2,13,18,1,0,0,2,2,5,27,0,0,0,0
281,"Barnes, Harvey",11,M,FA,12,0,2,14,1,7,8,15,6,0,0,0,3,3,4,5,0,0,0,1
282,"Obiang, Pedro",19,M,FA,21,0,1,4,0,1,37,5,9,0,0,0,1,9,14,11,0,0,0,1
283,"Aurier, Serge",17,D,OWNED,8,0,2,6,0,1,20,7,2,1,0,0,7,7,17,12,0,6,2,0
284,"Winks, Harry",17,M,FA,26,1,0,7,0,2,22,22,15,4,0,0,1,21,19,12,0,0,0,6
285,"Depoitre, Laurent",10,F,FA,23,0,1,9,0,6,6,31,9,1,0,0,0,2,8,81,0,0,0,0
286,"Llorente, Fernando",17,F,FA,16,1,4,12,0,4,1,7,4,2,0,0,0,1,9,43,1,0,0,0
287,"Higuain, Gonzalo",6,F,OWNED,10,3,0,11,0,9,7,14,2,0,0,0,0,1,3,5,0,0,0,0
288,"Andone, Florin",3,F,FA,19,3,0,2,0,8,8,26,18,3,0,0,2,2,8,33,0,0,0,0
289,"Foyth, Juan",17,D,FA,8,1,0,1,0,1,19,6,8,3,0,0,0,9,46,20,0,9,3,0
290,"Lookman, Ademola",8,F,FA,18,0,2,10,0,1,12,24,17,0,0,0,5,7,2,6,0,0,0,1
291,"Davies, Tom",8,M,FA,16,0,0,5,0,2,27,8,17,3,0,0,0,16,9,8,0,0,0,2
292,"Lowton, Matthew",4,D,FA,17,0,0,5,0,0,42,8,11,5,0,0,5,23,57,22,0,33,4,0
293,Joselu,15,F,FA,16,2,0,2,0,5,14,17,7,1,0,0,0,3,14,43,0,0,0,0
294,"Kachunga, Elias",10,F,FA,18,0,0,5,0,3,22,17,20,2,0,0,5,4,8,23,0,0,0,1
295,"Benteke, Christian",7,F,OWNED,14,0,0,7,0,7,3,13,7,1,0,0,0,0,8,72,0,0,0,0
296,"Longstaff, Sean",15,M,FA,9,1,0,5,1,2,17,6,8,2,0,0,2,10,7,9,0,0,0,3
297,"Grant, Karlan",10,F,FA,9,2,0,6,2,6,5,13,7,0,0,0,0,1,1,6,0,0,0,0
298,"Sema, Ken",18,M,FA,16,1,2,5,0,3,13,23,7,1,0,0,1,8,4,20,0,0,0,2
299,"Masina, Adam",18,D,FA,11,0,1,3,0,0,24,1,8,4,0,0,4,16,30,20,0,15,2,0
300,"Diangana, Grady",19,M,FA,16,0,1,12,0,3,20,18,9,0,0,0,4,0,4,6,0,0,0,0
301,"Kayal, Beram",3,M,FA,13,1,1,4,0,2,20,7,7,4,0,0,1,13,21,14,0,0,0,3
302,"Kenny, Jonjoe",8,D,FA,10,0,1,6,0,0,21,9,1,1,0,0,4,17,30,23,0,15,1,0
303,Ruben Vinagre,20,D,FA,14,0,0,5,0,3,14,11,7,1,0,0,6,14,13,9,0,0,0,1
304,"Stankovic, Jon Gorenc",10,D,FA,9,1,0,2,0,2,19,1,10,2,0,0,0,7,13,19,0,6,0,1
305,"Jahanbakhsh, Alireza",3,F,FA,16,0,0,4,0,6,27,19,6,2,0,0,6,8,2,8,0,0,0,3
306,"Lallana, Adam",12,M,FA,13,0,0,9,1,2,16,10,11,1,0,0,2,5,1,9,0,0,0,0
307,"Walker-Peters, Kyle",17,D,FA,5,0,3,7,0,0,5,1,8,1,0,0,4,2,2,1,0,2,1,1
308,"Delph, Fabian",13,M,FA,11,0,1,3,0,3,23,1,7,1,0,1,3,13,17,9,0,9,3,0
309,"Sturridge, Daniel",12,F,FA,16,2,1,6,0,6,2,4,8,1,0,0,1,1,0,3,0,0,0,0
310,"Surman, Andrew",1,M,FA,18,0,0,10,0,1,11,4,6,2,0,0,1,10,32,20,0,0,0,4
311,"Long, Kevin",4,D,FA,6,0,1,1,0,0,18,1,5,0,0,0,0,7,34,20,0,9,1,0
312,Bruno,3,D,FA,10,0,1,5,0,0,17,2,6,2,0,0,3,11,17,5,0,11,3,0
313,"McTominay, Scott",14,M,FA,12,1,0,0,0,4,9,2,13,0,0,0,0,9,13,30,0,5,0,1
314,"Schneiderlin, Morgan",8,M,FA,10,0,1,7,0,0,12,2,4,1,0,0,1,9,10,18,0,0,0,2
315,"Harris, Kadeem",5,M,FA,13,1,0,6,1,3,12,7,5,1,0,0,4,3,4,3,0,0,0,1
316,"Rico, Diego",1,D,FA,12,0,0,11,0,0,15,5,11,1,0,0,11,14,17,7,0,13,0,0
317,"Brady, Robbie",4,M,OWNED,14,0,1,12,0,2,12,9,4,3,0,1,10,6,15,11,0,0,0,1
318,"Bong, Gaetan",3,D,FA,21,0,0,9,0,0,15,17,4,0,0,0,9,25,42,23,0,34,4,0
319,"Peltier, Lee",5,D,FA,16,0,0,0,0,1,26,3,5,4,0,0,3,13,37,23,0,20,4,0
320,"Niasse, Oumar",5,F,FA,16,0,0,5,0,6,10,41,18,0,0,0,0,2,3,38,0,0,0,0
321,"Izquierdo, Jose",3,F,FA,13,0,1,6,1,3,13,10,5,1,0,0,1,4,4,2,0,0,0,2
322,"Hudson-Odoi, Callum",6,F,OWNED,9,0,1,8,0,3,8,5,6,0,0,0,5,2,0,2,0,0,0,0
323,"Batshuayi, Michy",7,F,OWNED,9,2,0,2,1,6,1,10,2,0,0,0,0,3,0,10,0,0,0,0
324,"Carroll, Andy",19,F,FA,12,0,0,4,0,6,4,8,8,2,0,0,0,1,8,46,0,0,0,0
325,"Coady, Conor",20,D,FA,33,0,0,2,0,0,28,4,10,5,0,0,0,28,111,34,3,42,7,0
326,"Jagielka, Phil",8,D,FA,5,1,0,2,0,1,7,0,3,0,0,1,0,2,11,14,0,2,2,0
327,"Kompany, Vincent",13,D,FA,13,0,0,1,0,0,12,0,0,4,0,0,0,8,42,25,0,6,2,0
328,"Yarmolenko, Andriy",19,F,FA,9,2,0,5,1,3,4,11,8,2,0,0,0,2,3,3,0,0,0,0
329,"Muto, Yoshinori",15,F,FA,14,1,0,4,0,3,7,12,10,0,0,0,0,5,3,10,0,0,0,0
330,"Origi, Divock",12,F,FA,10,2,1,3,0,4,4,8,4,0,0,0,0,0,1,3,0,0,0,0
331,"Kelly, Martin",7,D,FA,9,0,0,1,0,0,17,1,1,2,0,0,1,10,52,22,0,14,2,0
332,"Perez, Lucas",19,F,FA,12,2,0,6,0,2,5,7,3,0,0,0,1,2,3,2,0,0,0,0
333,"Mepham, Chris",1,D,FA,10,0,0,0,0,0,6,2,3,1,0,0,0,12,54,27,0,14,2,0
334,"Holding, Rob",2,D,FA,10,0,0,2,0,0,11,2,2,1,0,0,0,12,37,21,0,10,1,0
335,"Solanke, Dominic",1,F,FA,8,0,1,6,0,3,6,8,6,0,0,0,0,2,8,14,0,0,0,0
336,Antonio Valencia,14,D,FA,5,0,0,6,0,0,8,1,4,2,0,0,5,5,6,3,0,2,2,0
337,"Ibe, Jordon",1,M,FA,17,0,1,9,0,0,5,14,8,1,0,0,9,3,3,2,0,0,0,0
338,"Mawson, Alfie",9,D,FA,13,0,0,2,0,1,11,0,5,2,0,0,0,17,62,29,0,22,1,0
339,"Mbenza, Isaac",10,M,FA,18,0,1,5,0,3,8,8,5,1,0,0,5,5,2,1,0,0,0,0
340,"Ward, Danny",5,F,FA,11,1,0,5,0,3,0,2,3,0,0,0,0,0,8,22,0,0,0,0
341,"Lanzini, Manuel",19,M,FA,8,0,1,4,1,2,8,9,5,1,0,0,1,5,5,2,0,0,0,1
342,"Welbeck, Danny",2,F,FA,8,1,1,5,0,2,3,3,2,0,0,0,0,1,1,7,0,0,0,0
343,"Cleverley, Tom",18,M,FA,12,1,0,1,0,2,16,4,4,2,0,0,1,5,11,4,0,0,0,2
344,"Balogun, Leon",3,D,FA,8,1,0,0,0,1,12,2,2,2,0,0,0,17,32,13,0,10,0,0
345,"Clyne, Nathaniel",1,D,FA,15,0,0,1,0,1,32,10,5,2,0,0,4,16,21,5,0,18,2,0
346,"Darmian, Matteo",14,D,FA,5,0,0,2,0,1,13,2,4,0,0,0,1,7,16,3,0,4,1,0
347,"Choudhury, Hamza",11,M,FA,6,0,0,2,0,1,13,0,1,0,0,0,0,11,6,4,0,0,0,2
348,Andreas Pereira,14,M,FA,12,1,1,3,0,1,6,6,4,3,0,0,3,8,5,3,0,0,0,1
349,"Gibbs-White, Morgan",20,M,FA,22,0,1,7,0,1,4,13,6,1,0,0,4,1,0,11,0,0,0,1
350,Emerson,6,D,FA,9,0,0,3,0,1,14,9,6,0,0,0,2,8,8,4,0,9,2,0
351,"Quina, Domingos",18,M,FA,8,1,0,2,0,1,9,5,6,0,0,0,1,3,1,2,0,0,0,0
352,"Fredericks, Ryan",19,D,FA,12,0,0,3,0,1,27,2,5,4,0,0,5,8,32,10,0,16,1,0
353,"Cunningham, Greg",5,D,FA,7,0,0,5,0,1,18,1,13,3,0,0,2,17,13,4,0,17,1,0
354,"Foden, Phil",13,M,FA,11,0,0,7,0,3,3,3,4,0,0,0,1,2,0,2,0,0,0,1
355,"Wanyama, Victor",17,M,FA,8,1,0,0,0,2,7,3,3,0,0,0,1,3,4,6,0,0,0,2
356,"Diakhaby, Adama",10,F,FA,11,0,0,5,1,3,6,20,9,1,0,0,2,1,1,5,0,0,0,1
357,"Ward, Joel",7,D,FA,4,1,0,1,0,1,9,3,3,0,0,0,0,5,20,10,0,7,0,0
358,"Amartey, Daniel",11,M,FA,9,0,0,3,0,1,18,4,1,2,0,0,0,16,25,14,0,9,1,0
359,"Wilshere, Jack",19,M,OWNED,5,0,1,3,0,1,7,7,10,2,0,0,0,7,0,2,0,0,0,0
360,"Ream, Tim",9,D,FA,23,0,0,3,0,0,20,5,7,1,0,0,0,21,64,43,0,48,3,0
361,"Ayite, Floyd",9,F,FA,12,1,0,4,0,1,3,12,6,0,0,0,0,5,3,5,0,0,0,0
362,"Nasri, Samir",19,M,FA,5,0,2,6,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1
363,"Bacuna, Leandro",5,D,FA,7,0,0,0,0,1,9,2,2,1,0,0,2,11,6,7,0,1,0,0
364,"Mousset, Lys",1,F,FA,21,1,0,3,0,3,3,5,5,1,0,0,0,1,2,8,0,0,0,0
365,"Simpson, Danny",11,D,FA,5,0,0,1,0,0,11,2,0,0,0,0,0,6,14,8,0,4,1,0
366,"Okazaki, Shinji",11,F,FA,20,0,1,1,0,4,4,5,4,0,0,0,0,2,1,7,0,0,0,0
367,"Obafemi, Michael",16,F,FA,6,1,1,2,0,3,1,2,3,1,0,0,1,1,0,0,0,0,0,0
368,"Cook, Lewis",1,M,FA,13,0,0,2,0,0,13,9,5,2,0,0,0,8,7,5,0,0,0,3
369,"Soyuncu, Caglar",11,D,FA,6,0,0,0,0,0,5,1,2,1,0,0,1,7,22,16,0,4,0,0
370,"Christensen, Andreas",6,D,FA,5,0,0,0,0,0,8,0,2,1,0,0,0,4,13,8,0,5,2,0
371,"Vydra, Matej",4,F,FA,11,1,1,2,0,3,2,8,1,1,0,0,0,1,6,3,0,0,0,0
372,"Bailly, Eric",14,D,FA,11,0,0,0,0,0,12,1,4,0,0,1,0,12,34,12,0,12,1,0
373,"McDonald, Kevin",9,M,FA,15,0,0,4,0,0,15,5,6,4,1,1,0,9,20,19,0,0,0,0
374,"Defour, Steven",4,M,FA,6,0,0,2,0,0,8,1,2,0,0,0,0,8,6,0,0,0,0,0
375,"Puncheon, Jason",10,M,FA,11,0,0,5,0,0,8,13,2,1,0,0,2,4,8,6,0,0,0,1
376,"Fuchs, Christian",11,D,FA,3,0,0,6,0,0,4,1,2,0,0,0,4,4,7,3,0,5,0,0
377,"Dann, Scott",7,D,FA,7,0,0,0,0,0,5,0,0,1,0,0,0,4,26,13,0,6,1,0
378,"Wickham, Connor",7,F,FA,5,0,1,4,0,1,0,2,0,0,0,0,0,0,2,7,0,0,0,0
379,"Baines, Leighton",8,D,FA,6,0,0,4,0,1,8,1,1,0,0,0,6,2,7,2,0,6,0,0
380,"Skipp, Oliver",17,M,FA,7,0,0,1,0,0,6,2,3,0,0,0,0,1,5,9,0,0,0,1
381,Mohamed Elneny,2,M,FA,6,0,0,2,0,0,10,3,0,0,0,0,0,1,6,1,0,0,0,0
382,"Crouch, Peter",4,F,FA,5,0,0,0,1,1,1,0,0,1,0,0,0,0,2,15,0,0,0,0
383,"Ward, Stephen",4,D,FA,3,0,0,1,0,1,4,0,3,1,0,0,0,4,12,4,0,6,1,0
384,"Nordtveit, Havard",9,M,FA,4,0,1,3,0,0,9,0,2,0,0,0,0,8,14,4,0,10,0,0
385,Josh Sims,16,M,FA,4,0,1,1,0,1,1,4,3,0,0,0,0,0,1,0,0,0,0,0
386,"Fosu-Mensah, Timothy",9,D,FA,12,0,0,6,0,1,18,4,1,3,0,0,3,12,25,7,1,18,1,0
387,"Sanchez, Carlos",19,M,FA,5,0,0,2,0,0,4,2,1,0,0,0,0,1,2,1,0,0,0,0
388,"Slattery, Callum",16,M,FA,3,0,0,0,0,0,4,2,3,0,0,0,0,2,1,3,0,0,0,0
389,"Moreno, Alberto",12,D,FA,2,0,0,3,0,0,3,0,1,0,0,0,1,2,0,0,0,2,0,0
390,"Lichtsteiner, Stephan",2,D,FA,12,0,0,2,0,0,12,11,10,2,0,0,1,6,21,13,0,16,0,0
391,"Gibson, Ben",4,D,FA,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,3,0,0
392,"Chalobah, Nathaniel",18,M,FA,7,0,0,1,0,1,1,3,3,2,0,0,0,4,6,3,0,0,0,0
393,"Mavropanos, Konstantinos",2,D,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
394,"Britos, Miguel",18,D,FA,3,0,0,0,0,0,4,0,1,0,0,0,0,3,10,5,0,5,0,0
395,"Kebano, Neeskens",9,M,FA,6,0,0,0,0,0,3,3,1,0,0,0,1,0,3,4,0,0,0,0
396,"Simpson, Jack",1,D,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,1,0,0
397,"Duhaney, Demeaco",10,D,FA,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
398,"Sabiri, Abdelhamid",10,M,FA,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
399,"Cisse, Ibrahima",9,M,FA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0
400,"Zappacosta, Davide",6,D,FA,3,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0
401,"Gomes, Angel",14,M,FA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,"Jenkinson, Carl",2,D,FA,2,0,0,1,0,0,3,3,0,0,0,0,0,0,1,1,0,1,0,0
403,"Suarez, Denis",2,M,OWNED,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
404,"Navarro, Marc",18,D,FA,1,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,2,0,0
405,"Healey, Rhys",5,F,FA,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
406,Eddie Nketiah,2,F,FA,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
407,"Souare, Pape",7,D,FA,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
408,Xande Silva,19,F,FA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
409,"Surridge, Sam",1,F,FA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
410,"Amos, Luke",17,M,FA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
411,"Gallagher, Sam",16,F,FA,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0
412,"Cahill, Gary",6,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
413,"Markovic, Lazar",9,M,FA,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
414,"Camacho, Rafael",12,M,FA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415,"Chong, Tahith",14,M,FA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
416,Joe Willock,2,M,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
417,"Smith, Tommy",10,D,FA,11,0,0,4,0,0,17,3,5,2,0,1,3,15,20,10,0,27,1,0
418,"Damour, Loic",5,M,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
419,"Greenwood, Mason",14,F,FA,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
420,"Oxlade-Chamberlain, Alex",12,M,OWNED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,"Drinkwater, Daniel",6,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Steven Sessegnon,9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,"Barreca, Antonio",15,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,"Prodl, Sebastian",18,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,"Janssen, Vincent",17,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,"James, Matty",11,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,"Reid, Winston",19,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,"Riedewald, Jairo",7,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,"Ampadu, Ethan",6,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,"Brewster, Rhian",12,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,"Mangala, Eliaquim",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,"Woodburn, Ben",12,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,"Bohui, Joshua",14,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,"McCarthy, James",8,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,"Agyei, Daniel",4,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,"Penaranda, Adalberto",18,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,"Saka, Bukayo",2,F,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,"Walters, Jonathan",4,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,"Bernabe, Adrian",13,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,"Ofoborh, Nnamdi",1,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,"Barnes, Marcus",16,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,"John-Jules, Tyreece",2,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,"Marsh, George",17,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,"McEachran, George",6,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,"Osei-Tutu, Jordi",2,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,"Poveda-Ocampo, Ian Carlo",13,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Benny Ashley-Seal,20,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,"Benson, Josh",4,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,"Butcher, Matt",1,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,"De La Torre, Luca",9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,"Hoever, Ki-Jana",12,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,"Humphreys-Grant, Cameron",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,"Humphries, Lloyd",5,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,"Jones, Curtis",12,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Gio McGregor,7,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,"O'Keefe, Stuart",5,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,"Pleguezuelo, Julio",2,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,"Sako, Bakary",7,F,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,"Collar, Will",3,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,"Connolly, Matthew",5,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,"Coventry, Conor",19,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,"Garner, James",14,M,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,"Gilmour, Charlie",2,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,"Gomes, Claudio",13,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,"Gyokeres, Viktor",3,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,"Johnson, Ben",19,M,FA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0
467,"Johnson, Tyreke",16,M,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,"Jones, Alfie",16,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,"Leshabela, Thakgalo",11,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,"Medley, Zech",2,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,"Nmecha, Felix",13,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,"O'Riley, Matt",9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Pote,20,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,"Richards, Taylor",13,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,"Rowe, Aaron",10,M,FA,2,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0
476,"Sandler, Philippe",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,"Taylor, Kyle",1,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,"Watt, Elliot",20,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,"Burn, Dan",3,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,"Christie-Davies, Isaac",12,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,"Coxe, Cameron",5,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,"Elliott, Harvey",9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,"Eyoma, Timothy",17,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,"Garcia, Eric",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,"Giles, Ryan John",20,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,"Holland, Nathan",19,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,"John, Cameron",20,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,"Ostigard, Leo Skiri",3,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,"Sanders, Max",3,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Matty Daly,10,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
