,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
103,"Ramsey, Aaron",2,M,OWNED,28,4,6,25,0,13,34,27,20,0,0,0,5,9,3,13,0,0,0,7
104,"Arnautovic, Marko",19,F,OWNED,24,7,3,29,1,26,9,25,12,3,0,0,5,3,4,22,0,0,0,0
105,"Young, Ashley",14,D,OWNED,25,2,2,33,1,3,41,16,30,7,1,1,35,47,55,18,0,35,4,0
106,"Hughes, Will",18,M,FA,27,2,4,23,0,6,62,45,52,5,0,0,2,23,19,16,0,0,0,5
107,"Gross, Pascal",3,M,OWNED,20,2,2,43,0,8,23,16,10,0,0,0,38,9,13,15,0,0,0,2
108,"Rose, Danny",17,D,OWNED,22,0,3,22,1,1,41,14,36,5,0,0,19,18,18,21,0,7,5,2
109,"Ecuele Manga, Bruno",5,D,FA,34,0,1,6,0,2,63,13,9,0,0,0,2,74,148,76,0,61,9,0
110,"Rudiger, Antonio",6,D,OWNED,32,1,0,8,1,5,34,9,15,7,0,0,0,32,93,83,0,34,12,0
111,"Antonio, Michail",19,M,OWNED,29,4,3,20,2,17,23,53,34,3,0,0,5,16,17,68,0,4,0,1
112,"Coleman, Seamus",8,D,OWNED,26,1,2,20,0,4,40,23,20,1,0,0,15,22,64,41,1,28,10,0
113,"Mahrez, Riyad",13,M,OWNED,26,6,3,22,0,22,13,26,14,0,0,0,15,8,2,18,0,0,0,2
114,"Chambers, Calum",9,D,OWNED,27,2,0,11,0,11,58,20,3,7,0,0,0,62,98,56,0,16,0,3
115,"Rice, Declan",19,M,OWNED,31,2,0,9,0,5,92,20,7,3,0,0,0,47,49,55,0,0,0,5
116,"Bennett, Ryan",20,D,OWNED,29,1,0,9,0,4,51,1,8,10,0,0,0,37,102,104,0,34,7,0
117,Danny Ings,16,F,FA,20,7,2,23,0,21,24,22,17,1,0,0,1,5,7,16,0,0,0,0
118,Jorginho,6,M,FA,33,2,0,23,0,6,70,31,21,7,0,0,1,53,30,10,0,0,0,14
119,"Zouma, Kurt",8,D,OWNED,28,2,2,6,0,3,28,6,11,3,1,1,0,41,109,92,0,36,7,0
120,"Dunk, Lewis",3,D,FA,31,2,1,10,0,3,40,3,11,4,1,1,0,41,148,101,0,48,6,0
121,"Mkhitaryan, Henrikh",2,M,OWNED,21,6,4,25,0,11,26,24,9,1,0,0,6,12,6,17,0,0,0,2
122,Bernard,8,M,FA,30,1,3,36,1,4,44,35,26,5,0,0,11,25,12,3,0,0,0,9
123,"Lascelles, Jamaal",15,D,OWNED,29,0,1,3,0,1,30,5,9,4,0,0,0,36,188,83,0,32,9,0
124,"Vestergaard, Jannik",16,D,OWNED,23,0,0,5,0,1,53,4,14,2,0,0,0,35,171,85,0,31,4,0
125,Dele Alli,17,M,OWNED,20,5,2,20,1,16,28,20,18,3,0,0,2,17,12,15,0,0,0,6
126,"McNeil, Dwight",4,F,OWNED,17,3,5,23,0,6,28,17,10,2,0,0,30,11,21,20,0,0,0,4
127,"Hoilett, David Junior",5,F,FA,28,3,1,21,1,8,34,35,34,4,0,0,13,29,23,17,0,0,0,5
128,Gabriel Jesus,13,F,OWNED,26,7,3,21,0,24,9,27,14,0,0,0,0,2,3,15,0,0,0,0
129,"Calvert-Lewin, Dominic",8,F,FA,32,6,1,9,3,14,12,39,26,3,0,0,1,7,16,97,0,0,0,0
130,"Morgan, Wes",11,D,FA,22,3,0,3,0,5,27,1,6,1,2,2,0,32,104,93,0,26,6,0
131,"Walcott, Theo",8,F,FA,33,3,2,21,1,16,25,35,22,1,0,0,11,18,6,14,0,0,0,5
132,"Iwobi, Alex",2,M,FA,30,3,4,33,2,12,24,50,9,0,0,0,11,11,9,3,0,0,0,2
133,"Schindler, Christopher",10,D,OWNED,33,1,0,2,1,3,50,4,17,4,1,1,0,61,110,122,0,62,5,0
134,"Hayden, Isaac",15,M,FA,21,1,3,18,0,4,61,21,13,3,0,1,4,35,25,49,0,0,0,4
135,"Diop, Issa",19,D,FA,30,1,0,4,0,3,63,1,16,4,0,0,0,51,134,73,1,42,5,0
136,"Hogg, Jonathan",10,M,FA,25,0,1,16,0,1,63,16,31,6,0,1,2,65,14,23,0,0,0,5
137,"Propper, Davy",3,M,FA,29,1,1,19,0,2,50,25,18,2,0,0,2,53,33,37,0,0,0,4
138,"De Bruyne, Kevin",13,M,OWNED,17,2,2,36,1,11,21,13,13,2,0,0,21,3,2,6,0,0,0,5
139,"Schurrle, Andre",9,M,FA,24,6,0,21,0,18,30,34,19,2,0,0,10,8,16,15,0,0,0,0
140,Fabinho,12,M,OWNED,25,1,2,16,0,4,54,14,24,6,0,0,3,25,22,51,0,0,1,9
141,"Matip, Joel",12,D,OWNED,20,1,0,2,0,2,36,1,15,3,0,0,0,27,67,60,0,12,7,0
142,"Taylor, Charlie",4,D,FA,34,0,1,10,0,0,52,13,46,2,0,0,19,35,74,65,0,56,7,0
143,Ryan Sessegnon,9,M,OWNED,31,2,6,31,1,9,19,41,17,0,0,0,12,15,33,14,0,5,0,1
144,"Ozil, Mesut",2,M,OWNED,21,4,2,38,1,4,11,22,22,1,0,0,14,4,4,5,0,0,0,2
145,"Deulofeu, Gerard",18,F,OWNED,25,7,5,24,0,14,9,42,9,2,0,0,4,13,3,3,0,0,0,1
146,"Cathcart, Craig",18,D,FA,31,3,0,1,0,5,47,4,8,2,0,0,0,35,162,81,2,43,6,0
147,"Bennett, Joe",5,D,FA,26,0,1,13,0,2,42,10,32,5,0,0,11,50,71,30,0,36,8,0
148,"Lerma, Jefferson",1,M,FA,26,1,0,12,2,7,36,18,42,11,0,0,1,47,71,69,1,0,0,7
149,"Shaqiri, Xherdan",12,M,FA,22,6,2,18,2,10,14,17,14,2,0,0,11,6,6,3,0,0,0,7
150,Zanka,10,D,FA,24,3,1,8,0,4,49,6,14,6,0,0,1,69,82,36,0,38,3,0
151,"Cork, Jack",4,M,FA,33,1,2,17,0,2,49,31,36,5,0,0,3,24,70,48,0,0,0,8
152,"Herrera, Ander",14,M,FA,20,2,3,14,0,7,50,8,16,3,0,0,1,37,21,4,0,2,0,4
153,"Gunnarsson, Aron",5,M,FA,24,1,1,15,0,4,44,4,25,4,0,0,2,35,48,42,0,0,0,5
154,"Albrighton, Marc",11,M,OWNED,23,2,2,24,0,6,31,17,15,3,0,0,20,20,23,15,0,0,0,4
155,"Ralls, Joe",5,M,FA,27,0,0,32,0,3,44,14,10,4,0,1,23,28,27,32,0,0,0,5
156,"Armstrong, Stuart",16,M,FA,25,3,1,26,2,12,23,21,18,2,0,0,3,12,11,14,0,0,0,2
157,"Kolasinac, Sead",2,D,OWNED,20,0,5,29,2,1,29,15,9,5,0,0,11,17,23,18,1,10,2,3
158,"Sanchez, Davinson",17,D,OWNED,20,1,1,2,1,3,26,1,7,2,0,0,0,26,88,60,0,19,6,0
159,"Pritchard, Alex",10,M,FA,27,1,0,26,0,12,29,47,46,2,0,0,15,15,5,11,0,0,0,2
160,"Wijnaldum, Georginio",12,M,OWNED,31,2,0,22,1,9,33,35,28,3,0,0,3,15,19,27,0,0,0,15
161,"Murphy, Josh",5,M,FA,26,3,1,12,0,14,22,35,51,1,0,0,9,10,7,11,0,0,0,5
162,"Yedlin, DeAndre",15,D,FA,29,1,2,28,0,2,54,9,13,6,0,1,18,28,71,30,1,36,5,0
163,"Monreal, Nacho",2,D,OWNED,19,1,3,9,0,4,33,3,18,4,0,0,3,27,46,29,0,16,5,0
164,Chicharito,19,F,FA,25,7,1,5,3,18,3,10,34,2,0,0,0,1,8,12,0,0,0,0
165,"Hadergjonaj, Florent",10,D,FA,24,0,0,23,0,2,30,3,19,1,0,0,22,21,27,23,0,9,2,2
166,"Bertrand, Ryan",16,D,FA,19,1,0,19,0,2,40,7,21,8,0,0,19,24,39,33,0,18,4,2
167,"Barkley, Ross",6,M,FA,26,3,5,21,0,7,15,31,26,1,0,0,1,9,12,19,0,0,0,6
168,"Bednarek, Jan",16,D,FA,20,0,1,7,0,1,37,5,5,6,0,0,0,52,137,62,0,26,3,0
169,"Kouyate, Cheikhou",7,M,FA,28,0,2,14,1,5,49,18,16,2,0,0,1,15,28,60,0,0,0,7
170,"Cairney, Tom",9,M,FA,28,1,1,36,0,5,31,43,34,0,0,0,5,8,9,8,0,0,0,1
171,"Lingard, Jesse",14,M,OWNED,25,4,2,15,1,13,26,19,23,2,0,0,2,7,5,5,0,0,0,3
172,"Otamendi, Nicolas",13,D,FA,16,0,0,2,0,3,24,0,3,1,0,0,0,29,55,41,0,7,9,0
173,Oriol Romeu,16,M,FA,26,1,0,7,0,4,73,12,14,7,0,0,0,43,33,36,0,0,0,5
174,"Davies, Ben",17,D,OWNED,22,0,0,15,0,1,45,10,11,2,0,0,9,21,51,42,0,18,5,1
175,"Evans, Jonny",11,D,FA,20,1,0,4,0,2,19,4,12,2,0,0,1,27,120,62,0,23,6,0
176,"Balbuena, Fabian",19,D,FA,19,1,0,3,0,2,37,2,4,2,0,0,0,46,138,59,0,29,3,0
177,"Sakho, Mamadou",7,D,FA,27,0,0,6,0,1,25,6,13,2,0,0,0,41,132,52,0,35,9,0
178,"Stephens, Dale",3,M,FA,26,1,1,16,0,1,71,12,10,5,0,1,1,34,37,24,0,0,0,4
179,"Zabaleta, Pablo",19,D,FA,24,0,1,6,0,1,40,12,29,4,0,0,7,46,79,47,0,32,4,0
180,"Alderweireld, Toby",17,D,OWNED,29,0,0,4,0,5,29,0,1,2,0,0,1,21,148,48,1,27,11,0
181,"Targett, Matt",16,D,FA,14,0,3,23,0,2,25,6,7,2,0,0,23,25,31,17,0,10,0,0
182,"Gray, Demarai",11,M,FA,31,4,1,17,0,19,25,36,14,2,0,0,4,7,12,9,0,0,0,5
183,"Noble, Mark",19,M,FA,27,3,3,15,0,6,39,29,33,6,0,1,4,16,11,8,0,0,0,5
184,"Lamela, Erik",17,M,OWNED,18,4,2,20,0,11,16,19,16,2,0,0,8,7,0,4,0,0,0,4
185,"Kongolo, Terence",10,D,FA,28,1,1,9,0,4,63,3,21,4,0,0,4,57,78,49,1,56,4,0
186,"Sissoko, Moussa",17,M,FA,27,0,3,23,0,3,35,27,17,1,0,0,4,15,21,23,0,0,0,10
187,"Ogbonna, Angelo",19,D,FA,22,1,1,4,0,5,31,3,7,2,0,0,0,35,97,75,0,34,2,0
188,"Lindelof, Victor",14,D,FA,26,1,1,5,0,1,34,3,14,1,0,0,0,19,106,61,1,32,6,0
189,"Bryan, Joe",9,D,FA,24,0,1,20,0,5,47,16,24,4,0,0,18,30,61,24,0,31,1,2
190,Bernardo,3,D,FA,17,0,1,10,0,3,52,12,17,3,0,0,3,32,43,38,0,22,2,0
191,"Montoya, Martin",3,D,FA,23,0,1,17,0,1,55,9,16,4,0,0,16,48,61,24,0,40,3,0
192,"Guendouzi, Matteo",2,M,FA,28,0,0,15,0,4,42,28,51,6,0,0,1,30,22,13,0,0,0,3
193,"Lowe, Chris",10,D,FA,26,0,1,18,2,6,33,12,12,2,0,0,31,22,48,25,0,29,0,1
194,"Dummett, Paul",15,D,FA,22,0,0,3,0,1,28,0,8,0,0,0,7,30,93,41,0,22,6,0
195,"Lemina, Mario",16,M,FA,18,0,1,9,1,4,46,28,22,5,0,0,3,39,26,27,0,0,0,4
196,"Smalling, Chris",14,D,FA,21,1,0,2,0,2,25,1,7,1,0,0,0,21,93,86,1,28,4,0
197,"Mendy, Benjamin",13,D,OWNED,10,0,5,12,1,3,16,11,2,1,0,0,11,10,16,8,0,5,4,0
198,"Stones, John",13,D,FA,21,0,0,5,0,1,15,3,7,1,0,0,1,12,56,54,0,12,8,0
