"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Locadia, Jurgen","BRIGHT","F","251","FA","CAR 2<br/>@BRIGHT 0 F","102","4.25","3%","0%","24","2","0","12","0","10","15","12","9","1","0","0","4","9","7","22","0","0","0","1"
"Cavaleiro, Ivan","WOLVES","F","252","FA","BRIGHT Sat 10:00AM","101","4.81","13%","0%","21","3","1","19","0","4","5","19","4","1","0","0","17","4","4","9","0","0","0","0"
"Mendy, Nampalys","LEIC","M","253","FA","@WHU Sat 10:00AM","100.5","3.47","2%","0%","29","0","0","5","1","0","32","15","36","5","0","0","2","26","23","8","0","0","0","7"
"Zinchenko, Oleksandr","MCI","M","254","FA","TOT Sat 7:30AM","100","11.11","26%","+0.1%","9","0","3","8","0","1","19","3","1","0","0","0","3","11","9","15","0","3","5","0"
"Federico Fernandez","NEW","D","255","FA","SOU Sat 12:30PM","100","6.25","3%","0%","16","0","1","4","1","1","15","4","7","2","0","0","2","25","96","37","0","23","3","0"
"Diogo Dalot","MUN","D","256","susej","@EVE Sun 8:30AM","99.75","7.67","37%","+0.2%","13","0","2","15","0","0","18","3","2","3","0","0","12","8","25","20","0","4","1","0"
"Yoshida, Maya","SOU","D","257","FA","@NEW Sat 12:30PM","99.25","6.62","6%","+0.8%","15","0","1","5","0","2","13","0","7","0","0","0","0","38","89","29","0","25","3","0"
"Atsu, Christian","NEW","M","258","FA","SOU Sat 12:30PM","98","4.08","2%","0%","24","0","0","15","0","12","21","26","20","2","0","0","8","7","12","8","0","0","0","3"
"Danilo","MCI","D","259","FA","TOT Sat 7:30AM","96.5","10.72","23%","-0.4%","9","1","0","4","0","3","20","5","8","1","0","0","2","15","20","18","0","7","4","0"
"Ki Sung-yueng","NEW","M","260","FA","SOU Sat 12:30PM","96","6.4","2%","+0.2%","15","0","1","15","0","1","13","8","14","2","0","0","13","19","18","12","0","0","0","3"
"Fred","MUN","M","261","FA","@EVE Sun 8:30AM","95.5","6.37","47%","+0.1%","15","1","1","11","1","2","28","18","15","2","0","0","5","14","8","3","0","0","0","0"
"Odoi, Denis","FUL","D","262","FA","@BOUR Sat 10:00AM","95.5","3.29","2%","+0.1%","29","0","1","11","0","0","44","11","29","4","0","0","4","41","140","51","1","62","2","0"
"Helder Costa","WOLVES","F","263","FA","BRIGHT Sat 10:00AM","95","3.8","6%","0%","25","1","2","17","0","7","16","42","23","3","0","0","3","9","5","10","0","0","0","0"
"Stephens, Jack","SOU","D","264","FA","@NEW Sat 12:30PM","94.75","4.99","3%","0%","19","1","0","5","0","5","19","4","5","4","0","0","0","24","75","44","0","25","3","0"
"Keita, Naby","LIV","M","265","FA","@CAR Sun 11:00AM","94.5","4.11","60%","+0.3%","23","1","1","7","0","9","28","28","13","0","0","0","0","9","9","9","0","0","0","7"
"Almiron, Miguel","NEW","M","266","JRs","SOU Sat 12:30PM","94","10.44","68%","+0.2%","9","0","0","12","2","7","16","5","14","0","0","0","6","7","3","1","0","0","0","3"
"Elyounoussi, Mohamed","SOU","M","267","FA","@NEW Sat 12:30PM","91.5","6.1","11%","0%","15","0","0","15","0","6","13","6","13","0","0","0","13","6","5","9","0","0","0","3"
"Dier, Eric","TOT","M","268","FA","@MCI Sat 7:30AM","88.5","5.53","37%","0%","16","2","0","6","0","2","25","7","7","3","0","0","1","15","31","28","0","0","0","5"
"Masuaku, Arthur","WHU","D","269","FA","LEIC Sat 10:00AM","88.5","4.66","5%","0%","19","0","1","8","0","1","50","23","5","2","0","0","4","33","48","16","0","26","2","0"
"Hendrick, Jeff","BURN","M","270","FA","@CHE Mon 3:00PM","88.5","3.16","4%","0%","28","2","0","10","1","5","24","21","9","4","0","0","4","9","20","16","0","0","0","3"
"Iheanacho, Kelechi","LEIC","F","271","FA","@WHU Sat 10:00AM","87","3.11","16%","0%","28","1","3","13","2","6","6","21","7","1","0","0","1","2","2","13","0","0","0","1"
"Manquillo, Javier","NEW","D","272","FA","SOU Sat 12:30PM","86.5","5.77","1%","0%","15","0","2","6","0","0","22","7","6","2","0","0","3","14","36","15","0","10","3","1"
"Mendez-Laing, Nathaniel","CAR","F","273","FA","CAR 2<br/>@BRIGHT 0 F","83","5.19","2%","0%","16","2","0","7","0","4","22","12","2","0","0","0","3","10","6","18","0","0","0","3"
"Lennon, Aaron","BURN","M","274","FA","@CHE Mon 3:00PM","82.5","5.16","4%","0%","16","1","1","7","0","2","26","13","16","1","0","0","3","10","12","2","0","0","0","3"
"Ghezzal, Rachid","LEIC","M","275","FA","@WHU Sat 10:00AM","82","4.32","3%","0%","19","1","0","16","0","5","14","22","8","3","0","0","16","7","3","10","0","0","0","1"
"Maitland-Niles, Ainsley","ARS","M","276","FA","CRY Sun 11:00AM","81","6.23","9%","+0.3%","13","1","1","6","0","3","29","13","10","1","0","0","1","17","11","5","0","2","0","2"
"Zambo Anguissa, Andre-Frank","FUL","M","277","FA","@BOUR Sat 10:00AM","81","4.5","2%","+0.2%","18","0","0","6","0","5","34","27","16","1","1","1","1","27","21","15","0","0","0","1"
"Bardsley, Phil","BURN","D","278","FA","@CHE Mon 3:00PM","79.5","4.18","1%","+0.1%","19","0","0","7","0","1","32","6","11","9","0","0","10","31","66","32","1","27","4","0"
"Mina, Yerry","EVE","D","279","EBDB","MUN Sun 8:30AM","78.5","6.54","17%","-0.1%","12","1","0","3","0","1","13","2","5","3","0","0","0","8","46","37","0","11","3","0"
"Daniels, Charlie","BOUR","D","280","FA","FUL Sat 10:00AM","78.25","3.73","15%","0%","21","1","0","11","0","3","25","7","7","4","0","0","9","20","43","29","0","32","3","1"
"Zohore, Kenneth","CAR","F","281","FA","CAR 2<br/>@BRIGHT 0 F","77","4.81","3%","-0.1%","16","1","1","11","0","6","2","13","18","1","0","0","2","2","5","27","0","0","0","0"
"Barnes, Harvey","LEIC","M","282","FA","@WHU Sat 10:00AM","76","6.33","32%","-0.1%","12","0","2","14","1","7","8","15","6","0","0","0","3","3","4","5","0","0","0","1"
"Obiang, Pedro","WHU","M","283","FA","LEIC Sat 10:00AM","76","3.62","1%","0%","21","0","1","4","0","1","37","5","9","0","0","0","1","9","14","11","0","0","0","1"
"Aurier, Serge","TOT","D","284","DerianT","@MCI Sat 7:30AM","75.75","9.47","23%","-0.2%","8","0","2","6","0","1","20","7","2","1","0","0","7","7","17","12","0","6","2","0"
"Winks, Harry","TOT","M","285","FA","@MCI Sat 7:30AM","75","2.88","7%","0%","26","1","0","7","0","2","22","22","15","4","0","0","1","21","19","12","0","0","0","6"
"Depoitre, Laurent","HUD","F","286","FA","WAT Sat 10:00AM","75","3.26","2%","0%","23","0","1","9","0","6","6","31","9","1","0","0","0","2","8","81","0","0","0","0"
"Llorente, Fernando","TOT","F","287","FA","@MCI Sat 7:30AM","74","4.62","34%","+0.6%","16","1","4","12","0","4","1","7","4","2","0","0","0","1","9","43","1","0","0","0"
"Higuain, Gonzalo","CHE","F","288","BOOM","BURN Mon 3:00PM","72.5","7.25","83%","-0.1%","10","3","0","11","0","9","7","14","2","0","0","0","0","1","3","5","0","0","0","0"
"Andone, Florin","BRIGHT","F","289","FA","CAR 2<br/>@BRIGHT 0 F","71.5","3.76","2%","0%","19","3","0","2","0","8","8","26","18","3","0","0","2","2","8","33","0","0","0","0"
"Foyth, Juan","TOT","D","290","FA","@MCI Sat 7:30AM","69.5","8.69","7%","0%","8","1","0","1","0","1","19","6","8","3","0","0","0","9","46","20","0","9","3","0"
"Lookman, Ademola","EVE","F","291","FA","MUN Sun 8:30AM","67","3.72","3%","+0.1%","18","0","2","10","0","1","12","24","17","0","0","0","5","7","2","6","0","0","0","1"
"Davies, Tom","EVE","M","292","FA","MUN Sun 8:30AM","67","4.19","2%","+0.1%","16","0","0","5","0","2","27","8","17","3","0","0","0","16","9","8","0","0","0","2"
"Lowton, Matthew","BURN","D","293","FA","@CHE Mon 3:00PM","66.25","3.9","10%","+0.2%","17","0","0","5","0","0","42","8","11","5","0","0","5","23","57","22","0","33","4","0"
"Joselu","NEW","F","294","FA","SOU Sat 12:30PM","66","4.12","11%","0%","16","2","0","2","0","5","14","17","7","1","0","0","0","3","14","43","0","0","0","0"
"Kachunga, Elias","HUD","F","295","FA","WAT Sat 10:00AM","65","3.61","1%","0%","18","0","0","5","0","3","22","17","20","2","0","0","5","4","8","23","0","0","0","1"
"Benteke, Christian","CRY","F","296","Mayomen","@ARS Sun 11:00AM","64.5","4.61","44%","+0.1%","14","0","0","7","0","7","3","13","7","1","0","0","0","0","8","72","0","0","0","0"
"Longstaff, Sean","NEW","M","297","FA","SOU Sat 12:30PM","64.5","7.17","2%","-0.1%","9","1","0","5","1","2","17","6","8","2","0","0","2","10","7","9","0","0","0","3"
"Grant, Karlan","HUD","F","298","FA","WAT Sat 10:00AM","63.5","7.06","4%","0%","9","2","0","6","2","6","5","13","7","0","0","0","0","1","1","6","0","0","0","0"
"Sema, Ken","WAT","M","299","FA","@HUD Sat 10:00AM","63.5","3.97","1%","0%","16","1","2","5","0","3","13","23","7","1","0","0","1","8","4","20","0","0","0","2"
"Masina, Adam","WAT","D","300","FA","@HUD Sat 10:00AM","63","5.73","2%","+0.3%","11","0","1","3","0","0","24","1","8","4","0","0","4","16","30","20","0","15","2","0"
"Diangana, Grady","WHU","M","301","FA","LEIC Sat 10:00AM","63","3.94","1%","0%","16","0","1","12","0","3","20","18","9","0","0","0","4","0","4","6","0","0","0","0"
"Kayal, Beram","BRIGHT","M","302","FA","CAR 2<br/>@BRIGHT 0 F","62.5","4.81","1%","0%","13","1","1","4","0","2","20","7","7","4","0","0","1","13","21","14","0","0","0","3"
