,Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
217,"Dendoncker, Leander",20,M,218,OWNDED,BRIGHT Sat 10:00AM,120.5,8.61,14%,+0.5%,14,1,0,5,0,6,47,4,9,1,0,0,1,19,25,33,0,0,0,2
218,"Gomez, Joseph",12,D,219,OWNDED,@CAR Sun 11:00AM,118.75,9.13,51%,-0.2%,13,0,0,7,0,1,17,2,9,2,0,0,2,14,39,24,0,4,7,0
219,"Lovren, Dejan",12,D,220,FA,@CAR Sun 11:00AM,118.5,10.77,55%,+0.1%,11,1,0,1,1,1,12,1,7,1,0,0,2,7,44,41,0,5,5,0
220,"Giroud, Olivier",6,F,221,FA,BURN Mon 3:00PM,118.5,4.94,51%,+0.1%,24,2,4,17,0,9,3,6,6,1,0,0,0,3,6,37,0,0,0,0
221,"Meyer, Max",7,M,222,OWNDED,@ARS Sun 11:00AM,118.5,4.74,20%,+0.1%,25,1,2,19,1,8,22,19,14,3,0,0,4,10,16,4,0,0,0,4
222,"Mariappa, Adrian",18,D,223,FA,@HUD Sat 10:00AM,118.5,5.39,3%,+0.3%,22,0,0,2,0,1,33,5,4,3,0,0,0,23,104,56,0,24,5,0
223,Kenedy,15,M,224,FA,SOU Sat 12:30PM,117.5,5.11,31%,0%,23,1,1,10,0,6,28,40,21,1,0,0,9,31,19,7,0,2,0,5
224,"Kabasele, Christian",18,D,225,FA,@HUD Sat 10:00AM,117.0,6.5,8%,+0.1%,18,0,0,2,0,2,23,0,11,1,1,1,0,34,96,55,0,21,3,0
225,"Koscielny, Laurent",2,D,226,OWNDED,CRY Sun 11:00AM,116.75,8.98,40%,+0.4%,13,3,0,1,0,4,16,1,12,1,0,0,0,25,61,20,0,13,3,0
226,"Gray, Andre",18,F,227,FA,@HUD Sat 10:00AM,116.5,4.85,21%,+0.9%,24,5,2,12,0,14,2,16,9,2,0,0,2,2,3,13,0,0,0,0
227,"Arter, Harry",5,M,228,FA,CAR 2<br/>@BRIGHT 0 F,116.5,4.66,2%,+0.1%,25,0,1,10,0,5,62,3,14,10,0,0,6,21,20,6,0,0,0,6
228,"Matic, Nemanja",14,M,229,FA,@EVE Sun 8:30AM,116.0,4.64,37%,+0.1%,25,1,0,13,0,3,46,34,16,6,1,1,2,29,50,52,0,2,0,6
229,"Shelvey, Jonjo",15,M,230,FA,SOU Sat 12:30PM,116.0,8.29,28%,+0.1%,14,0,1,23,0,7,21,3,5,1,0,0,14,6,11,11,0,0,0,3
230,"Bissouma, Yves",3,M,231,FA,CAR 2<br/>@BRIGHT 0 F,115.0,4.79,4%,-0.2%,24,0,0,11,0,3,49,27,22,4,0,0,2,28,17,19,0,0,0,2
231,"Bacuna, Juninho",10,M,232,FA,WAT Sat 10:00AM,114.0,6.71,3%,+0.1%,17,1,0,15,0,7,36,12,11,3,0,0,8,20,9,14,0,3,0,0
232,"Clark, Ciaran",15,D,233,FA,SOU Sat 12:30PM,113.25,10.3,5%,0%,11,3,0,2,0,3,20,2,6,1,0,0,0,12,57,43,0,15,2,0
233,"Mata, Juan",14,M,234,FA,@EVE Sun 8:30AM,113.0,5.65,48%,-0.2%,20,2,2,23,2,5,9,16,7,3,0,0,10,4,5,2,0,0,0,1
234,Andre Gomes,8,M,235,FA,MUN Sun 8:30AM,112.0,4.31,11%,0%,26,1,1,6,1,5,39,50,26,7,0,0,3,20,17,38,0,0,0,8
235,"Tosun, Cenk",8,F,236,OWNDED,MUN Sun 8:30AM,111.0,4.83,34%,+0.1%,23,2,3,9,0,14,12,19,14,3,0,0,1,4,2,33,0,0,0,0
236,"Stanislas, Junior",1,M,237,FA,FUL Sat 10:00AM,111.0,5.05,7%,0%,22,2,3,15,0,10,12,10,10,1,0,0,8,2,13,10,0,3,0,2
237,"Austin, Charlie",16,F,238,FA,@NEW Sat 12:30PM,109.5,4.76,19%,0%,23,2,2,9,0,9,12,13,18,1,0,0,0,2,13,42,0,0,0,0
238,"Janmaat, Daryl",18,D,239,FA,@HUD Sat 10:00AM,109.25,6.43,23%,+0.4%,17,0,1,12,0,1,35,11,1,3,0,0,14,31,59,18,0,21,3,0
239,"Le Marchand, Maxime",9,D,240,FA,@BOUR Sat 10:00AM,108.75,4.94,2%,+0.1%,22,0,1,9,0,0,52,5,6,4,0,0,4,47,113,50,0,48,1,0
240,"Bellerin, Hector",2,D,241,FA,CRY Sun 11:00AM,108.5,5.71,44%,0%,19,0,5,8,0,4,15,16,6,3,0,0,9,20,34,21,1,14,3,1
241,"Traore, Adama",20,F,242,FA,BRIGHT Sat 10:00AM,107.5,4.13,17%,-0.1%,26,1,1,16,0,7,15,44,25,1,0,0,15,6,6,19,0,0,0,1
242,"Cresswell, Aaron",19,D,243,FA,LEIC Sat 10:00AM,105.5,5.28,27%,+0.2%,20,0,1,17,0,0,29,6,12,1,0,0,16,23,42,25,0,26,1,0
243,"Ayew, Jordan",7,F,244,FA,@ARS Sun 11:00AM,105.5,5.86,3%,0%,18,1,2,13,0,3,34,29,20,3,0,0,0,7,5,30,0,0,0,0
244,"Tielemans, Youri",11,M,245,OWNDED,@WHU Sat 10:00AM,104.5,11.61,70%,-0.1%,9,2,3,13,1,8,12,13,12,2,0,0,2,2,7,8,0,0,0,1
245,"Durm, Erik",10,D,246,FA,WAT Sat 10:00AM,104.5,4.18,2%,+0.1%,25,0,1,10,0,0,30,14,22,0,0,0,11,36,30,22,0,29,2,1
246,"Morata, Alvaro",6,F,247,OWNDED,BURN Mon 3:00PM,104.0,6.5,37%,-0.1%,16,5,0,7,0,16,8,22,16,3,0,0,0,0,6,18,0,0,0,0
247,"Saiss, Romain",20,M,248,FA,BRIGHT Sat 10:00AM,104.0,5.47,4%,+0.2%,19,2,0,4,0,5,39,2,8,7,0,0,2,26,58,60,0,11,1,1
248,"Jones, Phil",14,D,249,FA,@EVE Sun 8:30AM,103.0,6.87,14%,0%,15,0,1,3,0,2,14,2,8,0,0,0,0,20,52,39,0,13,3,0
249,"Lejeune, Florian",15,D,250,FA,SOU Sat 12:30PM,102.0,8.5,5%,-0.2%,12,0,0,6,0,2,25,0,5,0,0,0,1,21,44,31,0,13,3,0
250,"Locadia, Jurgen",3,F,251,FA,CAR 2<br/>@BRIGHT 0 F,102.0,4.25,3%,0%,24,2,0,12,0,10,15,12,9,1,0,0,4,9,7,22,0,0,0,1
251,"Cavaleiro, Ivan",20,F,252,FA,BRIGHT Sat 10:00AM,101.0,4.81,13%,0%,21,3,1,19,0,4,5,19,4,1,0,0,17,4,4,9,0,0,0,0
252,"Mendy, Nampalys",11,M,253,FA,@WHU Sat 10:00AM,100.5,3.47,2%,0%,29,0,0,5,1,0,32,15,36,5,0,0,2,26,23,8,0,0,0,7
253,"Zinchenko, Oleksandr",13,M,254,FA,TOT Sat 7:30AM,100.0,11.11,26%,+0.1%,9,0,3,8,0,1,19,3,1,0,0,0,3,11,9,15,0,3,5,0
254,Federico Fernandez,15,D,255,FA,SOU Sat 12:30PM,100.0,6.25,3%,0%,16,0,1,4,1,1,15,4,7,2,0,0,2,25,96,37,0,23,3,0
255,Diogo Dalot,14,D,256,OWNDED,@EVE Sun 8:30AM,99.75,7.67,37%,+0.2%,13,0,2,15,0,0,18,3,2,3,0,0,12,8,25,20,0,4,1,0
256,"Yoshida, Maya",16,D,257,FA,@NEW Sat 12:30PM,99.25,6.62,6%,+0.8%,15,0,1,5,0,2,13,0,7,0,0,0,0,38,89,29,0,25,3,0
257,"Atsu, Christian",15,M,258,FA,SOU Sat 12:30PM,98.0,4.08,2%,0%,24,0,0,15,0,12,21,26,20,2,0,0,8,7,12,8,0,0,0,3
258,Danilo,13,D,259,FA,TOT Sat 7:30AM,96.5,10.72,23%,-0.4%,9,1,0,4,0,3,20,5,8,1,0,0,2,15,20,18,0,7,4,0
259,Ki Sung-yueng,15,M,260,FA,SOU Sat 12:30PM,96.0,6.4,2%,+0.2%,15,0,1,15,0,1,13,8,14,2,0,0,13,19,18,12,0,0,0,3
260,Fred,14,M,261,FA,@EVE Sun 8:30AM,95.5,6.37,47%,+0.1%,15,1,1,11,1,2,28,18,15,2,0,0,5,14,8,3,0,0,0,0
261,"Odoi, Denis",9,D,262,FA,@BOUR Sat 10:00AM,95.5,3.29,2%,+0.1%,29,0,1,11,0,0,44,11,29,4,0,0,4,41,140,51,1,62,2,0
262,Helder Costa,20,F,263,FA,BRIGHT Sat 10:00AM,95.0,3.8,6%,0%,25,1,2,17,0,7,16,42,23,3,0,0,3,9,5,10,0,0,0,0
263,"Stephens, Jack",16,D,264,FA,@NEW Sat 12:30PM,94.75,4.99,3%,0%,19,1,0,5,0,5,19,4,5,4,0,0,0,24,75,44,0,25,3,0
264,"Keita, Naby",12,M,265,FA,@CAR Sun 11:00AM,94.5,4.11,60%,+0.3%,23,1,1,7,0,9,28,28,13,0,0,0,0,9,9,9,0,0,0,7
265,"Almiron, Miguel",15,M,266,OWNDED,SOU Sat 12:30PM,94.0,10.44,68%,+0.2%,9,0,0,12,2,7,16,5,14,0,0,0,6,7,3,1,0,0,0,3
266,"Elyounoussi, Mohamed",16,M,267,FA,@NEW Sat 12:30PM,91.5,6.1,11%,0%,15,0,0,15,0,6,13,6,13,0,0,0,13,6,5,9,0,0,0,3
267,"Dier, Eric",17,M,268,FA,@MCI Sat 7:30AM,88.5,5.53,37%,0%,16,2,0,6,0,2,25,7,7,3,0,0,1,15,31,28,0,0,0,5
268,"Masuaku, Arthur",19,D,269,FA,LEIC Sat 10:00AM,88.5,4.66,5%,0%,19,0,1,8,0,1,50,23,5,2,0,0,4,33,48,16,0,26,2,0
269,"Hendrick, Jeff",4,M,270,FA,@CHE Mon 3:00PM,88.5,3.16,4%,0%,28,2,0,10,1,5,24,21,9,4,0,0,4,9,20,16,0,0,0,3
