,Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
327,"Kompany, Vincent",13,D,328,FA,TOT Sat 7:30AM,45.5,3.5,28%,0%,13,0,0,1,0,0,12,0,0,4,0,0,0,8,42,25,0,6,2,0
328,"Yarmolenko, Andriy",19,F,329,FA,LEIC Sat 10:00AM,44.0,4.89,26%,-0.1%,9,2,0,5,1,3,4,11,8,2,0,0,0,2,3,3,0,0,0,0
329,"Muto, Yoshinori",15,F,330,FA,SOU Sat 12:30PM,44.0,3.14,2%,0%,14,1,0,4,0,3,7,12,10,0,0,0,0,5,3,10,0,0,0,0
330,"Origi, Divock",12,F,331,FA,@CAR Sun 11:00AM,43.5,4.35,3%,+0.2%,10,2,1,3,0,4,4,8,4,0,0,0,0,0,1,3,0,0,0,0
331,"Kelly, Martin",7,D,332,FA,@ARS Sun 11:00AM,43.5,4.83,1%,0%,9,0,0,1,0,0,17,1,1,2,0,0,1,10,52,22,0,14,2,0
332,"Perez, Lucas",19,F,333,FA,LEIC Sat 10:00AM,42.5,3.54,3%,0%,12,2,0,6,0,2,5,7,3,0,0,0,1,2,3,2,0,0,0,0
333,"Mepham, Chris",1,D,334,FA,FUL Sat 10:00AM,41.5,4.15,3%,+0.3%,10,0,0,0,0,0,6,2,3,1,0,0,0,12,54,27,0,14,2,0
334,"Holding, Rob",2,D,335,FA,CRY Sun 11:00AM,41.25,4.12,2%,0%,10,0,0,2,0,0,11,2,2,1,0,0,0,12,37,21,0,10,1,0
335,"Solanke, Dominic",1,F,336,FA,FUL Sat 10:00AM,41.0,5.12,7%,-0.1%,8,0,1,6,0,3,6,8,6,0,0,0,0,2,8,14,0,0,0,0
336,Antonio Valencia,14,D,337,FA,@EVE Sun 8:30AM,40.0,8.0,36%,-0.1%,5,0,0,6,0,0,8,1,4,2,0,0,5,5,6,3,0,2,2,0
337,"Ibe, Jordon",1,M,338,FA,FUL Sat 10:00AM,40.0,2.35,5%,0%,17,0,1,9,0,0,5,14,8,1,0,0,9,3,3,2,0,0,0,0
338,"Mawson, Alfie",9,D,339,FA,@BOUR Sat 10:00AM,39.5,3.04,3%,0%,13,0,0,2,0,1,11,0,5,2,0,0,0,17,62,29,0,22,1,0
339,"Mbenza, Isaac",10,M,340,FA,WAT Sat 10:00AM,38.5,2.14,1%,0%,18,0,1,5,0,3,8,8,5,1,0,0,5,5,2,1,0,0,0,0
340,"Ward, Danny",5,F,341,FA,CAR 2<br/>@BRIGHT 0 F,38.0,3.45,1%,0%,11,1,0,5,0,3,0,2,3,0,0,0,0,0,8,22,0,0,0,0
341,"Lanzini, Manuel",19,M,342,FA,LEIC Sat 10:00AM,37.5,4.69,43%,0%,8,0,1,4,1,2,8,9,5,1,0,0,1,5,5,2,0,0,0,1
342,"Welbeck, Danny",2,F,343,FA,CRY Sun 11:00AM,37.0,4.62,4%,+0.1%,8,1,1,5,0,2,3,3,2,0,0,0,0,1,1,7,0,0,0,0
343,"Cleverley, Tom",18,M,344,FA,@HUD Sat 10:00AM,37.0,3.08,1%,0%,12,1,0,1,0,2,16,4,4,2,0,0,1,5,11,4,0,0,0,2
344,"Balogun, Leon",3,D,345,FA,CAR 2<br/>@BRIGHT 0 F,37.0,4.62,1%,0%,8,1,0,0,0,1,12,2,2,2,0,0,0,17,32,13,0,10,0,0
345,"Clyne, Nathaniel",1,D,346,FA,FUL Sat 10:00AM,36.25,2.42,14%,0%,15,0,0,1,0,1,32,10,5,2,0,0,4,16,21,5,0,18,2,0
346,"Darmian, Matteo",14,D,347,FA,@EVE Sun 8:30AM,35.0,7.0,2%,0%,5,0,0,2,0,1,13,2,4,0,0,0,1,7,16,3,0,4,1,0
347,"Choudhury, Hamza",11,M,348,FA,@WHU Sat 10:00AM,35.0,5.83,1%,0%,6,0,0,2,0,1,13,0,1,0,0,0,0,11,6,4,0,0,0,2
348,Andreas Pereira,14,M,349,FA,@EVE Sun 8:30AM,34.5,2.88,6%,+0.1%,12,1,1,3,0,1,6,6,4,3,0,0,3,8,5,3,0,0,0,1
349,"Gibbs-White, Morgan",20,M,350,FA,BRIGHT Sat 10:00AM,34.0,1.55,1%,0%,22,0,1,7,0,1,4,13,6,1,0,0,4,1,0,11,0,0,0,1
350,Emerson,6,D,351,FA,BURN Mon 3:00PM,33.5,3.72,19%,+0.1%,9,0,0,3,0,1,14,9,6,0,0,0,2,8,8,4,0,9,2,0
351,"Quina, Domingos",18,M,352,FA,@HUD Sat 10:00AM,32.5,4.06,0%,0%,8,1,0,2,0,1,9,5,6,0,0,0,1,3,1,2,0,0,0,0
352,"Fredericks, Ryan",19,D,353,FA,LEIC Sat 10:00AM,32.0,2.67,8%,+0.1%,12,0,0,3,0,1,27,2,5,4,0,0,5,8,32,10,0,16,1,0
353,"Cunningham, Greg",5,D,354,FA,CAR 2<br/>@BRIGHT 0 F,31.75,4.54,1%,0%,7,0,0,5,0,1,18,1,13,3,0,0,2,17,13,4,0,17,1,0
354,"Foden, Phil",13,M,355,FA,TOT Sat 7:30AM,30.5,2.77,9%,0%,11,0,0,7,0,3,3,3,4,0,0,0,1,2,0,2,0,0,0,1
355,"Wanyama, Victor",17,M,356,FA,@MCI Sat 7:30AM,30.5,3.81,4%,+0.6%,8,1,0,0,0,2,7,3,3,0,0,0,1,3,4,6,0,0,0,2
356,"Diakhaby, Adama",10,F,357,FA,WAT Sat 10:00AM,30.5,2.77,1%,0%,11,0,0,5,1,3,6,20,9,1,0,0,2,1,1,5,0,0,0,1
357,"Ward, Joel",7,D,358,FA,@ARS Sun 11:00AM,30.5,7.62,1%,-0.1%,4,1,0,1,0,1,9,3,3,0,0,0,0,5,20,10,0,7,0,0
358,"Amartey, Daniel",11,M,359,FA,@WHU Sat 10:00AM,30.0,3.33,1%,0%,9,0,0,3,0,1,18,4,1,2,0,0,0,16,25,14,0,9,1,0
359,"Wilshere, Jack",19,M,360,OWNDED,LEIC Sat 10:00AM,29.5,5.9,21%,+0.1%,5,0,1,3,0,1,7,7,10,2,0,0,0,7,0,2,0,0,0,0
360,"Ream, Tim",9,D,361,FA,@BOUR Sat 10:00AM,29.5,1.28,2%,0%,23,0,0,3,0,0,20,5,7,1,0,0,0,21,64,43,0,48,3,0
361,"Ayite, Floyd",9,F,362,FA,@BOUR Sat 10:00AM,29.5,2.46,0%,0%,12,1,0,4,0,1,3,12,6,0,0,0,0,5,3,5,0,0,0,0
362,"Nasri, Samir",19,M,363,FA,LEIC Sat 10:00AM,29.0,5.8,13%,0%,5,0,2,6,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1
363,"Bacuna, Leandro",5,D,364,FA,CAR 2<br/>@BRIGHT 0 F,28.5,4.07,1%,0%,7,0,0,0,0,1,9,2,2,1,0,0,2,11,6,7,0,1,0,0
364,"Mousset, Lys",1,F,365,FA,FUL Sat 10:00AM,28.5,1.36,1%,0%,21,1,0,3,0,3,3,5,5,1,0,0,0,1,2,8,0,0,0,0
365,"Simpson, Danny",11,D,366,FA,@WHU Sat 10:00AM,27.5,5.5,1%,0%,5,0,0,1,0,0,11,2,0,0,0,0,0,6,14,8,0,4,1,0
366,"Okazaki, Shinji",11,F,367,FA,@WHU Sat 10:00AM,27.0,1.35,3%,0%,20,0,1,1,0,4,4,5,4,0,0,0,0,2,1,7,0,0,0,0
367,"Obafemi, Michael",16,F,368,FA,@NEW Sat 12:30PM,27.0,4.5,1%,0%,6,1,1,2,0,3,1,2,3,1,0,0,1,1,0,0,0,0,0,0
368,"Cook, Lewis",1,M,369,FA,FUL Sat 10:00AM,25.0,1.92,3%,+0.1%,13,0,0,2,0,0,13,9,5,2,0,0,0,8,7,5,0,0,0,3
369,"Soyuncu, Caglar",11,D,370,FA,@WHU Sat 10:00AM,25.0,4.17,1%,-0.1%,6,0,0,0,0,0,5,1,2,1,0,0,1,7,22,16,0,4,0,0
370,"Christensen, Andreas",6,D,371,FA,BURN Mon 3:00PM,24.25,4.85,19%,+0.3%,5,0,0,0,0,0,8,0,2,1,0,0,0,4,13,8,0,5,2,0
371,"Vydra, Matej",4,F,372,FA,@CHE Mon 3:00PM,23.5,2.14,1%,0%,11,1,1,2,0,3,2,8,1,1,0,0,0,1,6,3,0,0,0,0
372,"Bailly, Eric",14,D,373,FA,@EVE Sun 8:30AM,23.0,2.09,26%,-0.1%,11,0,0,0,0,0,12,1,4,0,0,1,0,12,34,12,0,12,1,0
373,"McDonald, Kevin",9,M,374,FA,@BOUR Sat 10:00AM,22.0,1.47,2%,0%,15,0,0,4,0,0,15,5,6,4,1,1,0,9,20,19,0,0,0,0
374,"Defour, Steven",4,M,375,FA,@CHE Mon 3:00PM,21.5,3.58,1%,0%,6,0,0,2,0,0,8,1,2,0,0,0,0,8,6,0,0,0,0,0
375,"Puncheon, Jason",10,M,376,FA,WAT Sat 10:00AM,20.5,1.86,1%,0%,11,0,0,5,0,0,8,13,2,1,0,0,2,4,8,6,0,0,0,1
376,"Fuchs, Christian",11,D,377,FA,@WHU Sat 10:00AM,20.25,6.75,2%,0%,3,0,0,6,0,0,4,1,2,0,0,0,4,4,7,3,0,5,0,0
377,"Dann, Scott",7,D,378,FA,@ARS Sun 11:00AM,19.5,2.79,2%,+0.1%,7,0,0,0,0,0,5,0,0,1,0,0,0,4,26,13,0,6,1,0
378,"Wickham, Connor",7,F,379,FA,@ARS Sun 11:00AM,18.5,3.7,0%,0%,5,0,1,4,0,1,0,2,0,0,0,0,0,0,2,7,0,0,0,0
379,"Baines, Leighton",8,D,380,FA,MUN Sun 8:30AM,18.25,3.04,14%,0%,6,0,0,4,0,1,8,1,1,0,0,0,6,2,7,2,0,6,0,0
380,"Skipp, Oliver",17,M,381,FA,@MCI Sat 7:30AM,16.5,2.36,0%,0%,7,0,0,1,0,0,6,2,3,0,0,0,0,1,5,9,0,0,0,1
381,Mohamed Elneny,2,M,382,FA,CRY Sun 11:00AM,14.0,2.33,1%,0%,6,0,0,2,0,0,10,3,0,0,0,0,0,1,6,1,0,0,0,0
382,"Crouch, Peter",4,F,383,FA,@CHE Mon 3:00PM,13.5,2.7,2%,0%,5,0,0,0,1,1,1,0,0,1,0,0,0,0,2,15,0,0,0,0
383,"Ward, Stephen",4,D,384,FA,@CHE Mon 3:00PM,13.0,4.33,7%,0%,3,0,0,1,0,1,4,0,3,1,0,0,0,4,12,4,0,6,1,0
384,"Nordtveit, Havard",9,M,385,FA,@BOUR Sat 10:00AM,13.0,3.25,1%,+0.2%,4,0,1,3,0,0,9,0,2,0,0,0,0,8,14,4,0,10,0,0
385,Josh Sims,16,M,386,FA,@NEW Sat 12:30PM,12.0,3.0,1%,+0.1%,4,0,1,1,0,1,1,4,3,0,0,0,0,0,1,0,0,0,0,0
386,"Fosu-Mensah, Timothy",9,D,387,FA,@BOUR Sat 10:00AM,11.25,0.94,1%,0%,12,0,0,6,0,1,18,4,1,3,0,0,3,12,25,7,1,18,1,0
387,"Sanchez, Carlos",19,M,388,FA,LEIC Sat 10:00AM,9.5,1.9,1%,0%,5,0,0,2,0,0,4,2,1,0,0,0,0,1,2,1,0,0,0,0
388,"Slattery, Callum",16,M,389,FA,@NEW Sat 12:30PM,9.5,3.17,0%,0%,3,0,0,0,0,0,4,2,3,0,0,0,0,2,1,3,0,0,0,0
389,"Moreno, Alberto",12,D,390,FA,@CAR Sun 11:00AM,9.0,4.5,1%,0%,2,0,0,3,0,0,3,0,1,0,0,0,1,2,0,0,0,2,0,0
390,"Lichtsteiner, Stephan",2,D,391,FA,CRY Sun 11:00AM,7.75,0.65,10%,0%,12,0,0,2,0,0,12,11,10,2,0,0,1,6,21,13,0,16,0,0
391,"Gibson, Ben",4,D,392,FA,@CHE Mon 3:00PM,6.5,6.5,1%,0%,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,3,0,0
392,"Chalobah, Nathaniel",18,M,393,FA,@HUD Sat 10:00AM,6.0,0.86,1%,0%,7,0,0,1,0,1,1,3,3,2,0,0,0,4,6,3,0,0,0,0
393,"Mavropanos, Konstantinos",2,D,394,FA,CRY Sun 11:00AM,5.75,2.88,2%,+0.1%,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
394,"Britos, Miguel",18,D,395,FA,@HUD Sat 10:00AM,5.5,1.83,0%,0%,3,0,0,0,0,0,4,0,1,0,0,0,0,3,10,5,0,5,0,0
395,"Kebano, Neeskens",9,M,396,FA,@BOUR Sat 10:00AM,5.5,0.92,0%,0%,6,0,0,0,0,0,3,3,1,0,0,0,1,0,3,4,0,0,0,0
396,"Simpson, Jack",1,D,397,FA,FUL Sat 10:00AM,4.75,2.38,0%,0%,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,1,0,0
397,"Duhaney, Demeaco",10,D,398,FA,WAT Sat 10:00AM,4.25,4.25,0%,0%,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
398,"Sabiri, Abdelhamid",10,M,399,FA,WAT Sat 10:00AM,4.0,2.0,0%,0%,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
399,"Cisse, Ibrahima",9,M,400,FA,@BOUR Sat 10:00AM,3.5,1.17,0%,0%,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0
400,"Zappacosta, Davide",6,D,401,FA,BURN Mon 3:00PM,3.25,1.08,3%,0%,3,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0
401,"Gomes, Angel",14,M,402,FA,@EVE Sun 8:30AM,3.0,3.0,0%,0%,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,"Jenkinson, Carl",2,D,403,FA,CRY Sun 11:00AM,2.75,1.38,0%,0%,2,0,0,1,0,0,3,3,0,0,0,0,0,0,1,1,0,1,0,0
403,"Suarez, Denis",2,M,404,OWNDED,CRY Sun 11:00AM,2.5,0.62,15%,-0.1%,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
404,"Navarro, Marc",18,D,405,FA,@HUD Sat 10:00AM,2.5,2.5,14%,0%,1,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,2,0,0
405,"Healey, Rhys",5,F,406,FA,CAR 2<br/>@BRIGHT 0 F,2.5,1.25,0%,0%,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
406,Eddie Nketiah,2,F,407,FA,CRY Sun 11:00AM,2.0,1.0,0%,0%,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
407,"Souare, Pape",7,D,408,FA,@ARS Sun 11:00AM,2.0,2.0,0%,0%,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
408,Xande Silva,19,F,409,FA,LEIC Sat 10:00AM,2.0,2.0,0%,0%,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
409,"Surridge, Sam",1,F,410,FA,FUL Sat 10:00AM,2.0,2.0,0%,0%,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
410,"Amos, Luke",17,M,411,FA,@MCI Sat 7:30AM,1.5,1.5,0%,0%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
411,"Gallagher, Sam",16,F,412,FA,@NEW Sat 12:30PM,1.5,0.38,0%,0%,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0
412,"Cahill, Gary",6,D,413,FA,BURN Mon 3:00PM,1.0,1.0,7%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
413,"Markovic, Lazar",9,M,414,FA,@BOUR Sat 10:00AM,1.0,1.0,2%,0%,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
414,"Camacho, Rafael",12,M,415,FA,@CAR Sun 11:00AM,1.0,1.0,0%,0%,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415,"Chong, Tahith",14,M,416,FA,@EVE Sun 8:30AM,1.0,1.0,0%,0%,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
416,Joe Willock,2,M,417,FA,CRY Sun 11:00AM,1.0,1.0,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
417,"Smith, Tommy",10,D,418,FA,WAT Sat 10:00AM,0.5,0.05,1%,+0.2%,11,0,0,4,0,0,17,3,5,2,0,1,3,15,20,10,0,27,1,0
418,"Damour, Loic",5,M,419,FA,CAR 2<br/>@BRIGHT 0 F,0.5,0.25,0%,0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
419,"Greenwood, Mason",14,F,420,FA,@EVE Sun 8:30AM,0.5,0.25,0%,0%,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
420,"Oxlade-Chamberlain, Alex",12,M,421,OWNDED,@CAR Sun 11:00AM,0.0,0.0,33%,+0.1%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,"Drinkwater, Daniel",6,M,422,FA,BURN Mon 3:00PM,0.0,0.0,2%,+0.1%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Steven Sessegnon,9,M,423,FA,@BOUR Sat 10:00AM,0.0,0.0,2%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,"Barreca, Antonio",15,D,424,FA,SOU Sat 12:30PM,0.0,0.0,1%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,"Prodl, Sebastian",18,D,425,FA,@HUD Sat 10:00AM,0.0,0.0,1%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,"Janssen, Vincent",17,F,426,FA,@MCI Sat 7:30AM,0.0,0.0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,"James, Matty",11,M,427,FA,@WHU Sat 10:00AM,0.0,0.0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,"Reid, Winston",19,D,428,FA,LEIC Sat 10:00AM,0.0,0.0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,"Riedewald, Jairo",7,M,429,FA,@ARS Sun 11:00AM,0.0,0.0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,"Ampadu, Ethan",6,D,430,FA,BURN Mon 3:00PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,"Brewster, Rhian",12,F,431,FA,@CAR Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,"Mangala, Eliaquim",13,D,432,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,"Woodburn, Ben",12,M,433,FA,@CAR Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,"Bohui, Joshua",14,F,434,FA,@EVE Sun 8:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,"McCarthy, James",8,M,435,FA,MUN Sun 8:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,"Agyei, Daniel",4,F,436,FA,@CHE Mon 3:00PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,"Penaranda, Adalberto",18,F,437,FA,@HUD Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,"Saka, Bukayo",2,F,438,FA,CRY Sun 11:00AM,0.0,0.0,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,"Walters, Jonathan",4,F,439,FA,@CHE Mon 3:00PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,"Bernabe, Adrian",13,M,440,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,"Ofoborh, Nnamdi",1,F,441,FA,FUL Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,"Barnes, Marcus",16,F,442,FA,@NEW Sat 12:30PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,"John-Jules, Tyreece",2,F,443,FA,CRY Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,"Marsh, George",17,M,444,FA,@MCI Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,"McEachran, George",6,M,445,FA,BURN Mon 3:00PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,"Osei-Tutu, Jordi",2,D,446,FA,CRY Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,"Poveda-Ocampo, Ian Carlo",13,F,447,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Benny Ashley-Seal,20,F,448,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,"Benson, Josh",4,M,449,FA,@CHE Mon 3:00PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,"Butcher, Matt",1,M,450,FA,FUL Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,"De La Torre, Luca",9,M,451,FA,@BOUR Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,"Hoever, Ki-Jana",12,D,452,FA,@CAR Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,"Humphreys-Grant, Cameron",13,D,453,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,"Humphries, Lloyd",5,M,454,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,"Jones, Curtis",12,M,455,FA,@CAR Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Gio McGregor,7,M,456,FA,@ARS Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,"O'Keefe, Stuart",5,M,457,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,"Pleguezuelo, Julio",2,D,458,FA,CRY Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,"Sako, Bakary",7,F,459,FA,@ARS Sun 11:00AM,0.0,0.0,0%,0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,"Collar, Will",3,M,460,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,"Connolly, Matthew",5,D,461,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,"Coventry, Conor",19,M,462,FA,LEIC Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,"Garner, James",14,M,463,FA,@EVE Sun 8:30AM,0.0,0.0,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,"Gilmour, Charlie",2,M,464,FA,CRY Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,"Gomes, Claudio",13,M,465,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,"Gyokeres, Viktor",3,F,466,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,"Johnson, Ben",19,M,467,FA,LEIC Sat 10:00AM,0.0,0.0,0%,0%,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0
467,"Johnson, Tyreke",16,M,468,FA,@NEW Sat 12:30PM,0.0,0.0,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,"Jones, Alfie",16,M,469,FA,@NEW Sat 12:30PM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,"Leshabela, Thakgalo",11,M,470,FA,@WHU Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,"Medley, Zech",2,D,471,FA,CRY Sun 11:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,"Nmecha, Felix",13,M,472,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,"O'Riley, Matt",9,M,473,FA,@BOUR Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Pote,20,M,474,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,"Richards, Taylor",13,F,475,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,"Rowe, Aaron",10,M,476,FA,WAT Sat 10:00AM,0.0,0.0,0%,0%,2,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0
476,"Sandler, Philippe",13,D,477,FA,TOT Sat 7:30AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,"Taylor, Kyle",1,M,478,FA,FUL Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,"Watt, Elliot",20,M,479,FA,BRIGHT Sat 10:00AM,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,"Burn, Dan",3,D,480,FA,CAR 2<br/>@BRIGHT 0 F,0.0,0.0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
